Player,No.,Pos,Ht,Wt,Birth Date,Birth,Exp,College
Reed Sheppard,15,SG,2-Jun,185,June 24 2004,us US,1,Kentucky
Josh Okogie,20,SG,4-Jun,213,September 1 1998,ng NG,7,Georgia Tech
Amen Thompson,1,PG,7-Jun,200,January 30 2003,us US,2,
Jabari Smith Jr.,10,PF,11-Jun,220,May 13 2003,us US,3,Auburn
Kevin Durant,7,SF,11-Jun,240,September 29 1988,us US,17,Texas
Clint Capela,30,C,10-Jun,256,May 18 1994,ch CH,11,
Alperen ÅžengÃ¼n,28,C,11-Jun,243,July 25 2002,tr TR,4,
Aaron Holiday,0,PG,Jun-00,185,September 30 1996,us US,7,UCLA
Steven Adams,12,C,11-Jun,265,July 20 1993,nz NZ,11,Pitt
Jae'Sean Tate,8,SF,4-Jun,230,October 28 1995,us US,5,Ohio State
Tari Eason,17,PF,8-Jun,215,May 10 2001,us US,3,Cincinnati LSU
JD DavisonÂ Â (TW),4,PG,1-Jun,195,October 3 2002,us US,3,Alabama
Dorian Finney-Smith,2,PF,7-Jun,220,May 4 1993,us US,9,Florida
Jeff Green,32,PF,8-Jun,235,August 28 1986,us US,17,Georgetown
Isaiah CrawfordÂ Â (TW),27,SF,6-Jun,220,November 1 2001,us US,1,Louisiana Tech
Fred VanVleet,,PG,Jun-00,197,February 25 1994,us US,9,Wichita State
Tristen NewtonÂ Â (TW),,SG,5-Jun,190,April 26 2001,us US,1,East Carolina University UConn
Shai Gilgeous-Alexander,2,PG,6-Jun,195,July 12 1998,ca CA,7,Kentucky
Cason Wallace,22,SG,3-Jun,195,November 7 2003,us US,2,Kentucky
Chet Holmgren,7,PF,1-Jul,208,May 1 2002,us US,2,Gonzaga
Ajay Mitchell,25,SG,4-Jun,190,June 25 2002,be BE,1,UC Santa Barbara
Isaiah Joe,11,SG,4-Jun,165,July 2 1999,us US,5,Arkansas
Luguentz Dort,5,SF,4-Jun,220,April 19 1999,ca CA,6,Arizona State
Aaron Wiggins,21,SG,5-Jun,190,January 2 1999,us US,4,Maryland
Jaylin Williams,6,PF,9-Jun,240,June 29 2002,us US,3,Arkansas
Branden CarlsonÂ Â (TW),15,C,Jul-00,220,June 14 1999,us US,1,Utah
Alex Caruso,9,SG,5-Jun,186,February 28 1994,us US,8,Texas A&M
Kenrich Williams,34,PF,7-Jun,210,December 2 1994,us US,7,TCU
Chris YoungbloodÂ Â (TW),3,SG,4-Jun,221,February 9 2002,us US,R,Kennesaw State University South Florida Alabama
Brooks BarnhizerÂ Â (TW),23,SG,5-Jun,230,March 2 2002,us US,R,Northwestern
Isaiah Hartenstein,55,C,Jul-00,250,May 5 1998,us US,7,
Ousmane Dieng,13,C,9-Jun,185,May 21 2003,fr FR,3,
Jalen Williams,8,SG,5-Jun,211,April 14 2001,us US,3,Santa Clara
Thomas Sorber,,C,9-Jun,250,December 25 2005,us US,R,Georgetown
Nikola TopiÄ‡,,PG,6-Jun,200,August 10 2005,rs RS,R,
Jarace Walker,5,PF,7-Jun,235,September 4 2003,us US,2,Houston
Jay Huff,32,C,1-Jul,240,August 25 1998,us US,4,Virginia
Pascal Siakam,43,PF,8-Jun,245,April 2 1994,cm CM,9,New Mexico State
Andrew Nembhard,2,PG,4-Jun,191,January 16 2000,ca CA,3,Florida Gonzaga
Ben Sheppard,26,SG,6-Jun,190,July 16 2001,us US,2,Belmont
T.J. McConnell,9,PG,1-Jun,190,March 25 1992,us US,10,Duquesne Arizona
Johnny Furphy,12,SG,8-Jun,200,December 8 2004,au AU,1,Kansas
Aaron Nesmith,23,SF,5-Jun,215,October 16 1999,us US,5,Vanderbilt
Quenton JacksonÂ Â (TW),29,PG,4-Jun,173,September 15 1998,us US,3,Texas A&M
Taelon PeterÂ Â (TW),4,SG,3-Jun,185,February 27 2002,us US,R,Tennessee Technological University Arkansas Tech University Liberty
Ethan ThompsonÂ Â (TW),55,SG,4-Jun,195,May 4 1999,us US,R,Oregon State
Micah Potter,11,C,9-Jun,248,April 6 1998,us US,4,Ohio State Wisconsin
Kam Jones,7,SG,4-Jun,200,February 25 2002,us US,R,Marquette
Obi Toppin,1,PF,9-Jun,220,March 4 1998,us US,5,Dayton
Ivica Zubac,,C,Jul-00,240,March 18 1997,ba BA,9,
Tyrese Haliburton,,PG,5-Jun,185,February 29 2000,us US,5,Iowa State
Kobe Brown,,PF,7-Jun,250,January 1 2000,us US,2,Missouri
Tyrese Maxey,0,PG,2-Jun,200,November 4 2000,us US,5,Kentucky
VJ Edgecombe,77,SG,4-Jun,180,July 30 2005,bs BS,R,Baylor
Quentin Grimes,5,SG,4-Jun,210,May 8 2000,us US,4,Kansas Houston
Jabari WalkerÂ Â (TW),33,PF,7-Jun,237,July 30 2002,us US,3,Colorado
Adem Bona,30,C,10-Jun,235,March 28 2003,ng NG,1,UCLA
Dominick Barlow,25,PF,9-Jun,215,May 26 2003,us US,3,
Justin Edwards,11,SF,7-Jun,203,December 16 2003,us US,1,Kentucky
Andre Drummond,1,C,11-Jun,279,August 10 1993,us US,13,UConn
Joel Embiid,21,C,Jul-00,280,March 16 1994,cm CM,9,Kansas
Kelly Oubre Jr.,9,SF,8-Jun,203,December 9 1995,us US,10,Kansas
Trendon Watford,12,PF,8-Jun,237,November 9 2000,us US,4,LSU
Paul George,8,PF,8-Jun,220,May 2 1990,us US,15,Fresno State
Johni Broome,22,C,10-Jun,235,July 19 2002,us US,R,Morehead State University Auburn
Kyle Lowry,7,PG,Jun-00,196,March 25 1986,us US,19,Villanova
MarJon BeauchampÂ Â (TW),,SF,7-Jun,199,October 12 2000,us US,3,Yakima Valley Community College
Charles Bassey,,C,10-Jun,230,October 28 2000,ng NG,4,Western Kentucky
Patrick Baldwin Jr.,,SF,Jul-00,220,November 18 2002,us US,3,UW-Milwaukee
